"Phylum" "Class" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"2904" "Chordata" "Ornithischia" "Pachycephalosauridae" "Colepiocephale" 83.5 70.6 80 81
"2934" "Chordata" "Aves" "Coliidae" "Colius" 23.03 2.588 90 93
"2937" "Chordata" "Aves" "Apodidae" "Collocalia" 19 0 90 94
"2953" "Chordata" "Saurischia" "Massospondylidae" "Coloradisaurus" 228 208.5 57 58
"2955" "Chordata" "Aves" "Columbidae" "Columba" 5.333 0 93 94
"3024" "Chordata" "Saurischia" "Ornithomimipodidae" "Columbosauripus" 113 93.5 75 77
"3028" "Chordata" "Aves" "Podicipedidae" "Colymbus" 33.9 0.0117 88 94
"3033" "Chordata" "Saurischia" "Compsognathidae" "Compsognathus" 157.3 145 68 69
"3037" "Chordata" "Aves" "Confuciusornithidae" "Confuciusornis" 130 113 73 74
"3051" "Chordata" "Saurischia" "Elongatoolithidae" "Continuoolithus" 83.5 70.6 80 81
"3071" "Chordata" "Aves" "Psittacidae" "Conuropsis" 20.43 0 90 94
"3085" "Chordata" "Ornithischia" "Anomoepodidae" "Corvipes" 201.3 190.8 59 60
"3091" "Chordata" "Aves" "Corvidae" "Corvus" 11.1 0 92 94
"3233" "Chordata" "Ornithischia" "Hadrosauridae" "Corythosaurus" 83.6 70.6 80 81
"3261" "Chordata" "Aves" "Phasianidae" "Coturnix" 7.246 0 92 94
"3310" "Chordata" "Aves" "Rallidae" "Crex" 8.7 0 92 94
"3319" "Chordata" "Ornithischia" "Ankylosauridae" "Crichtonsaurus" 100.5 89.8 76 77
"3356" "Chordata" "Aves" "Anatidae" "Cygnus" 12.7 0 91 94
"3400" "Chordata" "Aves" "Odontophoridae" "Cyrtonyx" 15.97 0 91 94
"3403" "Chordata" "Ornithischia" "Stegosauridae" "Dacentrurus" 163.5 125.45 67 74
"3429" "Chordata" "Saurischia" "Tyrannosauridae" "Daspletosaurus" 85.8 66 79 81
"3445" "Chordata" "Aves" "Spheniscidae" "Dege" 11.608 3.6 92 93
"3448" "Chordata" "Saurischia" "Dromaeosauridae" "Deinonychus" 125 100.5 74 75
"3516" "Chordata" "Aves" "Anatidae" "Dendrochen" 28.4 15.97 88 90
"3522" "Chordata" "Aves" "Anatidae" "Dendrocygna" 6.8 0 92 94
"3536" "Chordata" "Aves" "Cathartidae" "Diatropornis" 41.3 28.4 85 88
"3538" "Chordata" "Aves" "Diatrymidae" "Diatryma" 55.8 37.2 84 87
"3555" "Chordata" "Saurischia" "Dicraeosauridae" "Dicraeosaurus" 163.5 145 67 69
"3573" "Chordata" "Reptilia" "Dictyoolithidae" "Dictyoolithus" 145 66 70 81
"3587" "Chordata" "Saurischia" "Grallatoridae" "Dilophosauripus" 208.5 145 58 69
"3598" "Chordata" "Ornithischia" "Dryosauridae" "Dinehichnus" 163.5 145 67 69
"3612" "Chordata" "Aves" "Diomedeidae" "Diomedea" 15.97 0 91 94
"3637" "Chordata" "Saurischia" "Diplodocidae" "Diplodocus" 157.3 145 68 69
"3690" "Chordata" "Aves" "Panalcidae" "Divisulcus" 20.44 13.82 90 91
"3700" "Chordata" "Saurischia" "Dromaeopodidae" "Dromaeosauripus" 129.4 93.5 73 77
"3702" "Chordata" "Saurischia" "Dromaeosauridae" "Dromaeosaurus" 109 66 75 81
"3738" "Chordata" "Aves" "Casuariidae" "Dromaius" 15.97 0 91 94
"3749" "Chordata" "Aves" "Dromornithidae" "Dromornis" 28.4 5.333 88 92
"3761" "Chordata" "Aves" "Cathartidae" "Dryornis" 6.8 4 92 93
"3763" "Chordata" "Ornithischia" "Dryosauridae" "Dryosaurus" 157.3 145 68 69
"3882" "Chordata" "Ornithischia" "Nodosauridae" "Edmontonia" 83.6 66 80 81
"3895" "Chordata" "Ornithischia" "Hadrosauridae" "Edmontosaurus" 89.3 66 78 81
"3949" "Chordata" "Aves" "Ardeidae" "Egretta" 13.6 0 91 94
"3993" "Chordata" "Saurischia" "Elongatoolithidae" "Elongatoolithus" 130 66 73 81
"4015" "Chordata" "Saurischia" "Alvarezsauridae" "Elopteryx" 83.5 66 80 81
"4017" "Chordata" "Aves" "Emberizidae" "Emberiza" 8.7 0 92 94
"4030" "Chordata" "Aves" "Casuariidae" "Emuarius" 28.4 11.608 88 92
"4063" "Chordata" "Aves" "Ciconiidae" "Ephippiorhynchus" 11.608 2.588 92 93
"4066" "Chordata" "Saurischia" "Metriacanthosauridae" "Erectopus" 129.4 100.5 73 75
"4104" "Chordata" "Saurischia" "Riojasauridae" "Eucnemesaurus" 228 201.3 57 58
"4108" "Chordata" "Aves" "Threskiornithidae" "Eudocimus" 5.333 0 93 94
"4126" "Chordata" "Aves" "Tinamidae" "Eudromia" 9 0 92 94
"4153" "Chordata" "Ornithischia" "Ankylosauridae" "Euoplocephalus" 83.6 66 80 81
"4176" "Chordata" "Saurischia" "Brachiosauridae" "Europasaurus" 157.3 150.8 68 69
"4198" "Chordata" "Saurischia" "Otozoidae" "Evazoum" 237 199.3 56 59
"4211" "Chordata" "Aves" "Falconidae" "Falco" 50.3 0 84 94
"4305" "Chordata" "Saurischia" "Faveoloolithidae" "Faveoloolithus" 100.5 66 76 81
"4312" "Chordata" "Aves" "Muscicapidae" "Ficedula" 5.333 0 93 94
"4326" "Chordata" "Aves" "Phasianidae" "Francolinus" 11.608 0 92 94
"4349" "Chordata" "Aves" "Alcidae" "Fratercula" 5.333 0 93 94
"4421" "Chordata" "Aves" "Rallidae" "Fulica" 23.03 0 90 94
"4483" "Chordata" "Aves" "Procellariidae" "Fulmarus" 15.97 0 91 94
"4507" "Chordata" "Saurischia" "Diplodocidae" "Galeamopus" 157.3 145 68 69
"4532" "Chordata" "Saurischia" "Ornithomimidae" "Gallimimus" 83.6 66 80 81
"4555" "Chordata" "Aves" "Scolopacidae" "Gallinago" 8.7 0 92 94
"4594" "Chordata" "Aves" "Rallidae" "Gallinula" 4.9 0 93 94
"4710" "Chordata" "Aves" "Phasianidae" "Gallus" 13.82 0 91 94
"4787" "Chordata" "Ornithischia" "Nodosauridae" "Gastonia" 129.4 122.46 73 74
"4790" "Chordata" "Aves" "Gastornithidae" "Gastornis" 61.6 47.8 83 84
"4797" "Chordata" "Aves" "Gaviidae" "Gavia" 23.03 0 90 94
"4878" "Chordata" "Aves" "Accipitridae" "Geranoaetus" 20.43 0 90 94
"4885" "Chordata" "Aves" "Threskiornithidae" "Geronticus" 5.333 0 93 94
"4892" "Chordata" "Saurischia" "Carcharodontosauridae" "Giganotosaurus" 99.6 93.5 76 77
"4897" "Chordata" "Saurischia" "Brachiosauridae" "Giraffatitan" 163.5 145 67 69
"4943" "Chordata" "Ornithischia" "Nodosauridae" "Glyptodontopelta" 83.5 66 80 81
"4957" "Chordata" "Saurischia" "Tyrannosauridae" "Gorgosaurus" 83.6 66 80 81
"4972" "Chordata" "Aves" "Ignotornidae" "Goseongornipes" 145 100.5 70 75
"4987" "Chordata" "Aves" "Gruidae" "Grus" 48.6 0 84 94
"5018" "Chordata" "Ornithischia" "Hadrosauridae" "Gryposaurus" 85.8 70.6 79 81
"5034" "Chordata" "Saurischia" "Guaibasauridae" "Guaibasaurus" 228 208.5 57 58
"5126" "Chordata" "Ornithischia" "Iguanodontipodidae" "Hadrosauropodus" 125 66 74 81
"5171" "Chordata" "Ornithischia" "Hadrosauridae" "Hadrosaurus" 83.6 66 80 81
"5180" "Chordata" "Aves" "Haematopodidae" "Haematopus" 15.97 0 91 94
"5193" "Chordata" "Aves" "Accipitridae" "Haliaeetus" 15.97 0 91 94
"5264" "Chordata" "Aves" "Columbidae" "Hemiphaga" 5.333 0 93 94
"5293" "Chordata" "Saurischia" "Herrerasauridae" "Herrerasaurus" 237 201.3 56 58
"5304" "Chordata" "Aves" "Hesperornithidae" "Hesperornis" 100.5 66 76 81
"5348" "Chordata" "Ornithischia" "Stegosauridae" "Hesperosaurus" 161.2 150.8 67 69
"5353" "Chordata" "Ornithischia" "Heterodontosauridae" "Heterodontosaurus" 201.3 190.8 59 60
"5358" "Chordata" "Aves" "Recurvirostridae" "Himantopus" 4.9 0 93 94
"5382" "Chordata" "Aves" "Opisthocomidae" "Hoazinoides" 16.3 5.333 90 92
