"Order" "Superfamily" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"162" "Rotaliida" "Nummulitoidea" "Orthophragminidae" "Nemkovella" 59.2 47.8 83 84
"163" "Rotaliida" "Nummulitoidea" "Orthophragminidae" "Proporocyclina" 56 33.9 84 87
"164" "Rotaliida" "Nummulitoidea" "Orthophragminidae" "Pseudophragmina" 56 33.9 84 87
"165" "Rotaliida" "Nummulitoidea" "Orthophragminidae" "Asterocyclina" 61.6 33.9 83 87
"166" "Rotaliida" "Nummulitoidea" "Orthophragminidae" "Neodiscocyclina" 47.8 37.8 85 86
"167" "Rotaliida" "Nummulitoidea" "Orthophragminidae" "Orbitoclypeus" 59.2 33.9 83 87
"168" "Rotaliida" "Nummulitoidea" "Orthophragminidae" "Stenocyclina" 47.8 37.8 85 86
"170" "Rotaliida" "Planorbulinoidea" "Planorbulinidae" "Neoplanorbulinella" 37.8 15.97 87 90
"172" "Rotaliida" "Planorbulinoidea" "Planorbulinidae" "Planolinderina" 28.1 15.97 89 90
"173" "Rotaliida" "Planorbulinoidea" "Planorbulinidae" "Planorbulina" 56 0 84 94
"174" "Rotaliida" "Planorbulinoidea" "Planorbulinidae" "Planorbulinella" 56 0 84 94
"175" "Rotaliida" "Planorbulinoidea" "Planorbulinidae" "Tayamaia" 26.7 15.97 89 90
"176" "Rotaliida" "Planorbulinoidea" "Victoriellidae" "Carpenteria" 37.8 0 87 94
"177" "Rotaliida" "Planorbulinoidea" "Victoriellidae" "Rupertina" 23.03 0 90 94
"179" "Rotaliida" "Planorbulinoidea" "Victoriellidae" "Biarritzina" 47.8 0 85 94
"180" "Rotaliida" "Planorbulinoidea" "Victoriellidae" "Eorupertia" 47.8 33.9 85 87
"181" "Rotaliida" "Planorbulinoidea" "Victoriellidae" "Korobkovella" 47.8 37.8 85 86
"183" "Rotaliida" "Planorbulinoidea" "Victoriellidae" "Victoriella" 37.8 15.97 87 90
"185" "Rotaliida" "Planorbulinoidea" "Eoannularidae" "Eoannularia" 47.8 37.8 85 86
"186" "Rotaliida" "Planorbulinoidea" "Eoannularidae" "Epiannularia" 47.8 37.8 85 86
"187" "Rotaliida" "Planorbulinoidea" "Linderinidae" "Caudriella" 47.8 37.8 85 86
"188" "Rotaliida" "Planorbulinoidea" "Linderinidae" "Linderina" 47.8 33.9 85 87
"189" "Rotaliida" "Planorbulinoidea" "Cymbaloporidae" "Cymbalopora" 100.5 59.2 76 83
"190" "Rotaliida" "Planorbulinoidea" "Cymbaloporidae" "Eofabiania" 56 37.8 84 86
"191" "Rotaliida" "Planorbulinoidea" "Cymbaloporidae" "Fabiania" 59.2 33.9 83 87
"192" "Rotaliida" "Planorbulinoidea" "Cymbaloporidae" "Gunteria" 47.8 37.8 85 86
"193" "Rotaliida" "Planorbulinoidea" "Cymbaloporidae" "Halkyardia" 47.8 28.1 85 88
"194" "Rotaliida" "Planorbulinoidea" "Cymbaloporidae" "Archaecyclus" 100.5 72.1 76 80
"195" "Rotaliida" "Rotalioidea" "Calcarinidae" "Baculogypsina" 2.59 0 93 94
"197" "Rotaliida" "Rotalioidea" "Calcarinidae" "Calcarina" 5.333 0 93 94
"198" "Rotaliida" "Rotalioidea" "Calcarinidae" "Quasirotalia" 5.333 0 93 94
"199" "Rotaliida" "Rotalioidea" "Calcarinidae" "Schlumbergerella" 2.59 0 93 94
"200" "Rotaliida" "Rotalioidea" "Calcarinidae" "Silvestriella" 47.8 37.8 85 86
"203" "Rotaliida" "Rotalioidea" "Elphidiidae" "Elphidium" 56 0 84 94
"204" "Rotaliida" "Rotalioidea" "Elphidiidae" "Pellatispirella" 47.8 37.8 85 86
"207" "Rotaliida" "Rotalioidea" "Chapmaninidae" "Chapmanina" 47.8 7.246 85 92
"208" "Rotaliida" "Rotalioidea" "Chapmaninidae" "Crespinina" 37.8 28.1 87 88
"209" "Rotaliida" "Rotalioidea" "Chapmaninidae" "Ferayina" 47.8 37.8 85 86
"210" "Rotaliida" "Rotalioidea" "Chapmaninidae" "Sherbornina" 59.2 11.63 83 91
"213" "Rotaliida" "Rotalioidea" "Miogypsinidae" "Miogypsinodella" 25.3 13.82 89 91
"214" "Rotaliida" "Rotalioidea" "Miogypsinidae" "Miolepidocyclina" 33.9 15.97 88 90
"216" "Rotaliida" "Rotalioidea" "Miogypsinidae" "Americogypsina" 30.3 25.4 88 89
"218" "Rotaliida" "Rotalioidea" "Miogypsinidae" "Miogypsinella" 28.1 15.97 89 90
"220" "Rotaliida" "Rotalioidea" "Miogypsinidae" "Miogypsinoides" 28.1 5.333 89 92
"221" "Rotaliida" "Rotalioidea" "Miogypsinidae" "Miogypsina" 33.9 12.2 88 91
"222" "Rotaliida" "Rotalioidea" "Miogypsinidae" "Miogypsinita" 28.1 15.97 89 90
"224" "Rotaliida" "Rotalioidea" "Rotaliidae" "Laffitteina" 72.1 61.6 81 82
"225" "Rotaliida" "Rotalioidea" "Rotaliidae" "Daviesina" 61.6 23.03 83 89
"227" "Rotaliida" "Rotalioidea" "Rotaliidae" "Rotorbinella" 100.5 61.6 76 82
"228" "Rotaliida" "Rotalioidea" "Rotaliidae" "Rotalia" 89.8 33.9 78 87
"229" "Rotaliida" "Rotalioidea" "Rotaliidae" "Redmondina" 66 37.8 82 86
"230" "Rotaliida" "Rotalioidea" "Rotaliidae" "Dictyokathina" 66 47.8 82 84
"231" "Rotaliida" "Rotalioidea" "Rotaliidae" "Kathina" 61.6 47.8 83 84
"232" "Rotaliida" "Rotalioidea" "Rotaliidae" "Dictyoconoides" 47.8 37.8 85 86
"233" "Rotaliida" "Rotalioidea" "Rotaliidae" "Lockhartia" 66 37.8 82 86
"235" "Rotaliida" "Rotalioidea" "Rotaliidae" "Sakesaria" 66 47.8 82 84
"236" "Rotaliida" "Rotalioidea" "Rotaliidae" "Camagueyia" 47.8 37.8 85 86
"237" "Rotaliida" "Rotalioidea" "Rotaliidae" "Neorotalia" 33.9 15.97 88 90
"238" "Rotaliida" "Rotalioidea" "Rotaliidae" "Pararotalia" 89.8 37.8 78 86
"241" "Rotaliida" "Rotalioidea" "Pseudorbitoididae" "Conorbitoides" 80.4 69.1 80 81
"242" "Rotaliida" "Rotalioidea" "Pseudorbitoididae" "Historbitoides" 80.4 69.1 80 81
"243" "Rotaliida" "Rotalioidea" "Pseudorbitoididae" "Pseudorbitoides" 80.4 66 80 81
"245" "Rotaliida" "Rotalioidea" "Pseudorbitoididae" "Aktinorbitoides" 83.6 66 80 81
"246" "Rotaliida" "Rotalioidea" "Pseudorbitoididae" "Ctenorbitoides" 80.4 69.1 80 81
"247" "Rotaliida" "Rotalioidea" "Pseudorbitoididae" "Vaughanina" 80.4 66 80 81
"248" "Rotaliida" "Rotalioidea" "Pseudorbitoididae" "Asterorbis" 80.4 66 80 81
"249" "Rotaliida" "Rotalioidea" "Pseudorbitoididae" "Orbitocyclina" 83.6 66 80 81
"250" "Rotaliida" "Acervulinoidea" "Acervulinidae" "Acervulina" 23.03 0 90 94
"251" "Rotaliida" "Acervulinoidea" "Acervulinidae" "Alanlordia" 13.82 2.588 91 93
"253" "Rotaliida" "Acervulinoidea" "Acervulinidae" "Ladoronia" 23.03 5.333 90 92
"254" "Rotaliida" "Acervulinoidea" "Acervulinidae" "Planogypsina" 23.03 0 90 94
"255" "Rotaliida" "Acervulinoidea" "Acervulinidae" "Discogypsina" 37.8 0 87 94
"256" "Rotaliida" "Acervulinoidea" "Acervulinidae" "Gypsina" 28.1 0 89 94
"257" "Rotaliida" "Acervulinoidea" "Acervulinidae" "Orbitogypsina" 37.8 23.03 87 89
"258" "Rotaliida" "Acervulinoidea" "Acervulinidae" "Protogypsina" 66 56 82 83
"259" "Rotaliida" "Acervulinoidea" "Acervulinidae" "Solenomeris" 56 0 84 94
"260" "Rotaliida" "Acervulinoidea" "Acervulinidae" "Sphaerogypsina" 66 0 82 94
"262" "Rotaliida" "Acervulinoidea" "Homotrematidae" "Homotrema" 23.03 0 90 94
"263" "Rotaliida" "Acervulinoidea" "Homotrematidae" "Miniacina" 23.03 0 90 94
"264" "Rotaliida" "Acervulinoidea" "Homotrematidae" "Sporadotrema" 56 0 84 94
"265" "Rotaliida" "Nonionoidea" "Miscellaneidae" "Miscellanea" 66 56 82 83
"270" "Rotaliida" "Orbitoidoidea" "Lepidorbitoididae" "Orbitosiphon" 66 56 82 83
"274" "Rotaliida" "Orbitoidoidea" "Lepidorbitoididae" "Helicorbitoides" 78.7 66 80 81
"275" "Rotaliida" "Orbitoidoidea" "Lepidorbitoididae" "Lepidorbitoides" 78.7 66 80 81
"277" "Rotaliida" "Orbitoidoidea" "Lepidorbitoididae" "Sirtina" 86.3 69.2 79 81
"278" "Rotaliida" "Orbitoidoidea" "Lepidorbitoididae" "Sulcoperculina" 83.6 66 80 81
"280" "Rotaliida" "Orbitoidoidea" "Orduellinidae" "Orduella" 66 56 82 83
"281" "Rotaliida" "Orbitoidoidea" "Orbitoididae" "Monolepidorbis" 85.1 66 79 81
"282" "Rotaliida" "Orbitoidoidea" "Orbitoididae" "Orbitoides" 85.1 66 79 81
"288" "Textulariida" "Ataxophragmioidea" "Alveovalvulinidae" "Alveovalvulina" 23.03 3.6 90 93
"289" "Textulariida" "Ataxophragmioidea" "Alveovalvulinidae" "Guppyella" 23.03 0 90 94
"290" "Textulariida" "Ataxophragmioidea" "Alveovalvulinidae" "Jarvisella" 20.44 11.63 90 91
"292" "Textulariida" "Ataxophragmioidea" "Textulariellidae" "Textulariella" 23.03 0 90 94
"293" "Textulariida" "Ataxophragmioidea" "Globotextulariidae" "Cubanina" 28.1 0 89 94
"294" "Textulariida" "Ataxophragmioidea" "Globotextulariidae" "Liebusella" 37.8 0 87 94
"295" "Textulariida" "Ataxophragmioidea" "Globotextulariidae" "Matanzia" 100.5 5.333 76 92
"296" "Textulariida" "Ataxophragmioidea" "Ataxophragmiidae" "Ataxophragmium" 100.5 56 76 83
"297" "Textulariida" "Ataxophragmioidea" "Ataxophragmiidae" "Opertum" 126.3 66 74 81
"298" "Textulariida" "Ataxophragmioidea" "Ataxophragmiidae" "Voloshinoides" 113 66 75 81
"299" "Textulariida" "Ataxophragmioidea" "Ataxophragmiidae" "Palaeolituonella" 247.1 228.4 54 56
"300" "Textulariida" "Ataxophragmioidea" "Cuneolinidae" "Cuneolina" 139.4 66 71 81
"301" "Textulariida" "Ataxophragmioidea" "Cuneolinidae" "Pseudotextulariella" 145 93.9 70 76
"302" "Textulariida" "Ataxophragmioidea" "Cuneolinidae" "Sabaudia" 139.4 97.2 71 76
"303" "Textulariida" "Ataxophragmioidea" "Cuneolinidae" "Vercorsella" 139.4 100.5 71 75
"304" "Textulariida" "Ataxophragmioidea" "Dicyclinidae" "Dicyclina" 113 83.6 75 79
