"Order" "Superfamily" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"784" "Fusulinida" "Neoschwagerinoidea" "Verbeekinida" "Brevaxina" 279.3 266.8 46 48
"785" "Fusulinida" "Neoschwagerinoidea" "Misellinidae" "Misellina" 279.3 266.8 46 48
"786" "Fusulinida" "Neoschwagerinoidea" "Pseudodoliolinidae" "Pseudodoliolina" 290.1 259.8 45 49
"787" "Fusulinida" "Neoschwagerinoidea" "Neoschwagerinidae" "Cancellina" 272.3 259.8 47 49
"788" "Fusulinida" "Neoschwagerinoidea" "Neoschwagerinidae" "Neoschwagerina" 268.8 259.8 48 49
"790" "Fusulinida" "Neoschwagerinoidea" "Neoschwagerinidae" "Yabeina" 272.3 259.8 47 49
"26" "Rotaliida" "Globorotalioidea" "Truncorotaloididae" "Acarinina" 60.307609 2.778259 83 93
"36" "Rotaliida" "Globotruncanoidea" "Rugoglobigerinidae" "Archaeoglobigerina" 44.078081 3.024345 85 93
"417" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Beella" 5.988746 0.490527 92 94
"513" "Rotaliida" "Globorotalioidea" "Candeinidae" "Candeina" 8.633372 0.709564 92 94
"617" "Rotaliida" "Guembelitrioidea" "Cassigerinellidae" "Cassigerinella" 31.369396 12.836221 88 91
"710" "Rotaliida" "Guembelitrioidea" "Guembelitriidae" "Cassigerinelloita" 48.386998 47.750613 84 85
"8" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Catapsydrax" 39.758145 7.757721 86 92
"93" "Rotaliida" "Guembelitrioidea" "Chiloguembelinidae" "Chiloguembelina" 65.469732 27.38835 82 89
"10" "Rotaliida" "Hantkeninoidea" "Hantkeninidae" "Clavigerinella" 46.639086 35.616979 85 87
"11" "Rotaliida" "Rotaliporoidea" "Hedbergellidae" "Costellagerina" 42.709793 41.149855 85 86
"13" "Rotaliida" "Globorotalioidea" "Globoquadrinidae" "Dentoglobigerina" 39.541355 3.716781 86 93
"141" "Rotaliida" "Globorotalioidea" "Eoglobigerinidae" "Eoglobigerina" 65.473002 54.703627 82 84
"16" "Rotaliida" "Globorotalioidea" "Globorotaliidae" "Fohsella" 18.378965 9.213911 90 92
"17" "Rotaliida" "Rotaliporoidea" "Hedbergellidae" "Globanomalina" 65.457744 46.478885 82 85
"18" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Globigerina" 56.125684 0.371074 83 94
"196" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Globigerinatella" 17.575948 12.108449 90 91
"201" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Globigerinatheka" 51.753308 33.860244 84 88
"211" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Globigerinella" 21.34812 0.288855 90 94
"223" "Rotaliida" "Planomalinoidea" "Globigerinelloididae" "Globigerinelloides" 47.476184 3.024345 85 93
"234" "Rotaliida" "Globigerinitoidea" "Globigerinitidae" "Globigerinita" 34.696006 0.521494 87 94
"244" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Globigerinoides" 47.294025 0.344451 85 94
"252" "Rotaliida" "Globorotalioidea" "Globorotaliidae" "Globoconella" 21.829434 0.27112 90 94
"27" "Rotaliida" "Globorotalioidea" "Catapsydracidae" "Globoquadrina" 29.556746 0.736736 88 94
"283" "Rotaliida" "Globorotalioidea" "Globorotaliidae" "Globorotalia" 64.215088 0.124596 82 94
"29" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Globorotaloides" 40.897014 0.636917 86 94
"3010" "Rotaliida" "Globotruncanoidea" "Globotruncanidae" "Globotruncana" 52.567312 3.024345 84 93
"31" "Rotaliida" "Globotruncanoidea" "Globotruncanidae" "Globotruncanella" 65.479541 3.178693 82 93
"331" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Globoturborotalita" 13.364975 0.151239 91 94
"37" "Rotaliida" "Hantkeninoidea" "Hantkeninidae" "Hantkenina" 63.67894 34.176221 82 87
"381" "Rotaliida" "Globigerinoidea" "Hastigerinidae" "Hastigerina" 4.28775 0.23259 93 94
"392" "Rotaliida" "Rotaliporoidea" "Hedbergellidae" "Hedbergella" 65.478451 3.178693 82 93
"404" "Rotaliida" "Heterohelicoidea" "Heterohelicidae" "Heterohelix" 48.218688 3.247083 84 93
"418" "Rotaliida" "Globorotalioidea" "Globorotaliidae" "Hirsutella" 9.461236 0 92 94
"42" "Rotaliida" "Globorotalioidea" "Truncorotaloididae" "Igorina" 61.604682 43.009241 82 85
"4310" "Rotaliida" "Globorotalioidea" "Globorotaliidae" "Jenkinsella" 27.911929 10.318003 89 92
"442" "Rotaliida" "Globotruncanoidea" "Rugoglobigerinidae" "Kuglerina" 28.309723 3.178693 88 93
"453" "Rotaliida" "Heterohelicoidea" "Heterohelicidae" "Laeviheterohelix" 42.709793 3.178693 85 93
"47" "Rotaliida" "Globorotalioidea" "Globorotaliidae" "Menardella" 16.128252 0.182596 90 94
"4810" "Rotaliida" "Globorotalioidea" "Truncorotaloididae" "Morozovella" 65.470822 39.541355 82 86
"498" "Rotaliida" "Globorotalioidea" "Truncorotaloididae" "Morozovelloides" 46.394611 40.717418 85 86
"518" "Rotaliida" "Globorotalioidea" "Globorotaliidae" "Neogloboquadrina" 10.767537 0.292037 92 94
"527" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Orbulina" 14.640268 0.600319 91 94
"53" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Paragloborotalia" 41.363745 6.088318 85 92
"54" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Parasubbotina" 64.946677 40.658868 82 86
"56" "Rotaliida" "Globorotalioidea" "Truncorotaloididae" "Planorotalites" 56.791511 43.93392 83 85
"582" "Rotaliida" "Globorotalioidea" "Truncorotaloididae" "Praemurica" 65.415239 57.152729 82 83
"59" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Praeorbulina" 16.229388 13.656777 90 91
"6110" "Rotaliida" "Heterohelicoidea" "Heterohelicidae" "Pseudoguembelina" 65.479541 22.20411 82 90
"621" "Rotaliida" "Rotaliporoidea" "Hedbergellidae" "Pseudohastigerina" 54.236473 31.793929 84 88
"641" "Rotaliida" "Globorotalioidea" "Pulleniatinidae" "Pulleniatina" 6.395154 0.468005 92 94
"65" "Rotaliida" "Globotruncanoidea" "Rugoglobigerinidae" "Rugoglobigerina" 28.309723 3.247083 88 93
"66" "Rotaliida" "Globotruncanoidea" "Globotruncanidae" "Rugotruncana" 30.335307 22.20411 88 90
"681" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Sphaeroidinella" 23.316907 0.72466 89 94
"693" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Sphaeroidinellopsis" 16.522251 3.566748 90 93
"702" "Rotaliida" "Bolivinoidea" "Bolivinidae" "Streptochilus" 34.805647 4.28775 87 93
"711" "Rotaliida" "Globorotalioidea" "Catapsydracidae" "Subbotina" 65.426138 22.856567 82 90
"728" "Rotaliida" "Globigerinitoidea" "Globigerinitidae" "Tenuitella" 35.69066 0.230818 87 94
"731" "Rotaliida" "Globorotalioidea" "Candeinidae" "Tenuitellinata" 27.678463 2.122557 89 94
"741" "Rotaliida" "Rotaliporoidea" "Rotaliporidae" "Ticinella" 6.51012 4.192672 92 93
"751" "Rotaliida" "Globorotalioidea" "Globorotaliidae" "Truncorotaloides" 55.402859 15.728412 84 91
"761" "Rotaliida" "Rotaliporoidea" "Hedbergellidae" "Turborotalia" 64.947621 17.655752 82 90
"772" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Turborotalita" 40.370131 0.180659 86 94
"791" "Rotaliida" "Globigerinoidea" "Globigerinidae" "Zeaglobigerina" 34.566301 0.544015 87 94
