"Order" "Family" "Subfamily" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"4772" "Rodentia" "Heteromyidae" "Dipodomyinae" "Cupidinimus" 18.8 4.9 90 93
"4818" "Rodentia" "Cylindrodontidae" "Cylindrodontinae" "Cylindrodon" 40 34.7 86 87
"4842" "Carnivora" "Canidae" "Borophaginae" "Cynarctoides" 32 16 88 90
"4882" "Carnivora" "Canidae" "Borophaginae" "Cynarctus" 16 10.1 90 92
"4897" "Carnivora" "Amphicyonidae" "Amphicyoninae" "Cynelos" 19.5 14.8 90 91
"4917" "Rodentia" "Sciuridae" "Sciurinae" "Cynomyoides" 16 12.1 90 91
"4924" "Artiodactyla" "Tayassuidae" "Hesperhyinae" "Cynorca" 28.1 14.8 89 91
"4945" "Rodentia" "Muridae" "Myocricetodontinae" "Dakkamys" 15.2 11.2 91 92
"4954" "Carnivora" "Amphicyonidae" "Daphoeninae" "Daphoenictis" 40 34.7 86 87
"4963" "Carnivora" "Amphicyonidae" "Daphoeninae" "Daphoenodon" 28.1 18.8 89 90
"4974" "Carnivora" "Amphicyonidae" "Daphoeninae" "Daphoenus" 40 23 86 90
"5026" "Rodentia" "Muridae" "Gerbillinae" "Debruijnimys" 7.1 4.2 92 93
"5035" "Rodentia" "Muridae" "Copemyinae" "Democricetodon" 23.8 9.491 89 92
"5793" "Rodentia" "Muridae" "Dendromurinae" "Dendromus" 11.2 0.126 92 94
"5820" "Rodentia" "Muridae" "Cricetodontinae" "Deperetomys" 23 12.5 90 91
"5838" "Eulipotyphla" "Talpidae" "Uropsilinae" "Desmanella" 24 3.4 89 93
"5983" "Artiodactyla" "Dichobunidae" "Diacodexeiinae" "Diacodexis" 55 43.8 84 85
"6032" "Perissodactyla" "Rhinocerotidae" "Diceratheriinae" "Diceratherium" 33.7 16 88 90
"6114" "Rodentia" "Muridae" "Murinae" "Dilatomys" 3.56 2 93 94
"6122" "Carnivora" "Nimravidae" "Nimravinae" "Dinictis" 37 30 87 88
"6145" "Perissodactyla" "Equidae" "Equinae" "Dinohippus" 12.5 4.9 91 93
"6226" "Rodentia" "Dipodidae" "Simimyinae" "Diplolophus" 40 23 86 90
"6230" "Rodentia" "Heteromyidae" "Dipodomyinae" "Dipodomys" 9 2.5 92 94
"6253" "Rodentia" "Castoridae" "Castoroidinae" "Dipoides" 12.1 4.9 91 93
"6283" "Rodentia" "Heteromyidae" "Heteromyinae" "Diprionomys" 16 6.8 90 92
"6291" "Creodonta" "Oxyaenidae" "Oxyaeninae" "Dipsalidictis" 56.3 54.5 83 84
"6308" "Creodonta" "Oxyaenidae" "Palaeonictinae" "Dipsalodon" 57.3 55.8 83 84
"6315" "Condylarthra" "Mesonychidae" "Mesonychinae" "Dissacus" 62.4 52.7 82 84
"6357" "Rodentia" "Muridae" "Arvicolinae" "Dolomys" 5.3 0.787 93 94
"6376" "Eulipotyphla" "Soricidae" "Heterosoricinae" "Domnina" 42.8 18.8 85 90
"6423" "Eulipotyphla" "Talpidae" "Talpinae" "Domninoides" 28.1 5.9 89 92
"6459" "Rodentia" "Sciuridae" "Sciurinae" "Dremomys" 9 1.2 92 94
"6467" "Artiodactyla" "Dromomerycidae" "Dromomerycinae" "Dromomeryx" 17.5 12.1 90 91
"6506" "Perissodactyla" "Brontotheriidae" "Brontotheriinae" "Duchesneodus" 42.8 40 85 86
"6516" "Artiodactyla" "Tayassuidae" "Tayassuinae" "Dyseohyus" 16 14.8 90 91
"6519" "Euprimates" "Omomyidae" "Omomyinae" "Dyseolemur" 43.8 40 85 86
"6532" "Eulipotyphla" "Erinaceidae" "Galericinae" "Echinosorex" 23.8 0.08 89 94
"6534" "Condylarthra" "Phenacodontidae" "Meniscotheriinae" "Ectocion" 61.3 50 83 84
"6618" "Carnivora" "Canidae" "Hesperocyoninae" "Ectopocynus" 32 18.8 88 90
"6626" "Euprimates" "Omomyidae" "Omomyinae" "Ekgmowechashala" 30 23 88 90
"6636" "Condylarthra" "Mioclaenidae" "Mioclaeninae" "Ellipsodon" 64.8 61.3 82 83
"6647" "Rodentia" "Muridae" "Arvicolinae" "Ellobius" 3.4 0.301 93 94
"6682" "Artiodactyla" "Anthracotheriidae" "Bothriodontinae" "Elomeryx" 33.7 23 88 90
"6698" "Carnivora" "Mustelidae" "Lutrini" "Enhydritherium" 9 4.9 92 93
"6703" "Carnivora" "Canidae" "Hesperocyoninae" "Enhydrocyon" 31.4 23 88 90
"6720" "Rodentia" "Geomyidae" "Entoptychinae" "Entoptychus" 31.4 17.5 88 90
"6777" "Rodentia" "Muridae" "Arvicolinae" "Eolagurus" 2.6 0.301 93 94
"6852" "Carnivora" "Canidae" "Borophaginae" "Epicyon" 14.8 4.9 91 93
"6925" "Perissodactyla" "Equidae" "Hyracotheriinae" "Epihippus" 46.9 40 85 86
"6947" "Rodentia" "Muridae" "Gerbillinae" "Epimeriones" 9.5 5.3 92 93
"6956" "Artiodactyla" "Merycoidodontidae" "Merycochoerinae" "Eporeodon" 32 19.5 88 90
"7005" "Perissodactyla" "Equidae" "Equinae" "Equus" 5.9 0.85 92 94
"7151" "Tillodontia" "Esthonychidae" "Esthonychinae" "Esthonyx" 56.3 49.9 83 84
"7201" "Rodentia" "Castoridae" "Castoroidinae" "Eucastor" 18.8 6.8 90 92
"7231" "Rodentia" "Muridae" "Eucricetodontinae" "Eucricetodon" 43.6 20 85 90
"7362" "Artiodactyla" "Merycoidodontidae" "Eucrotaphinae" "Eucrotaphus" 34.7 31.4 87 88
"7376" "Carnivora" "Canidae" "Caninae" "Eucyon" 16 5.9 90 92
"7399" "Rodentia" "Castoridae" "Palaeocastorinae" "Euhapsis" 28.1 19.5 89 90
"7406" "Rodentia" "Muridae" "Eumyarioninae" "Eumyarion" 23.8 9.491 89 92
"7681" "Rodentia" "Muridae" "Eumyinae" "Eumys" 35.7 30 87 88
"7729" "Carnivora" "Nimravidae" "Nimravinae" "Eusmilus" 35.7 30 87 88
"7736" "Carnivora" "Felidae" "Felinae" "Felis" 4.9 2.5 93 94
"7750" "Artiodactyla" "Camelidae" "Floridatragulinae" "Floridatragulus" 18.8 14.8 90 91
"7761" "Rodentia" "Castoridae" "Palaeocastorinae" "Fossorcastor" 28.1 23 89 90
"7770" "Eulipotyphla" "Talpidae" "Gaillardiinae" "Gaillardia" 14.8 6.8 91 92
"7773" "Perissodactyla" "Rhinocerotidae" "Rhinocerotinae" "Gaindatherium" 23.8 5.3 89 93
"7782" "Rodentia" "Mylagaulidae" "Mesogaulinae" "Galbreathia" 30 16 88 90
"7793" "Euprimates" "Omomyidae" "Anaptomorphinae" "Gazinius" 49.9 46.9 84 85
"7802" "Rodentia" "Geomyidae" "Geomyinae" "Geomys" 14.8 1.9 91 94
"7883" "Rodentia" "Muridae" "Arvicolinae" "Germanomys" 5.3 1.95 93 94
"7900" "Artiodactyla" "Camelidae" "Camelinae" "Gigantocamelus" 4.9 2.5 93 94
"7929" "Artiodactyla" "Giraffidae" "Giraffokerycinae" "Giraffokeryx" 23.8 7.1 89 92
"7944" "Rodentia" "Muridae" "Cricetodontinae" "Gobicricetodon" 15.2 11.2 91 92
"7961" "Condylarthra" "Mesonychidae" "Triisodontinae" "Goniacodon" 64.1 61.3 82 83
"7974" "Rodentia" "Geomyidae" "Entoptychinae" "Gregorymys" 30 12.5 88 91
"8001" "Diprotodontia" "Macropodidae" "Sthenurinae" "Hadronomas" 23.8 2.59 89 93
