"Order" "Family" "Subfamily" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"20306" "Artiodactyla" "Palaeochoeridae" "Taucanaminae" "Schizoporcus" 17 9.428 90 92
"20320" "Rodentia" "Sciuravidae" "Sciuravinae" "Sciuravus" 54.5 40 84 86
"20362" "Rodentia" "Pteromyidae" "Petauristinae" "Sciurion" 17.5 10.1 90 92
"20370" "Rodentia" "Muridae" "Eucricetodontinae" "Scottimus" 35.7 28.1 87 88
"20392" "Eulipotyphla" "Sespedectidae" "Sespedectinae" "Sespedectes" 46.3 40 85 86
"20413" "Artiodactyla" "Merycoidodontidae" "Leptaucheniinae" "Sespia" 30 23 88 90
"20441" "Rodentia" "Muridae" "Sigmodontinae" "Sigmodon" 5.9 0.85 92 94
"20497" "Rodentia" "Dipodidae" "Simimyinae" "Simimys" 46.3 32 85 88
"20530" "Cimolesta" "Apatemyidae" "Apatemyinae" "Sinclairella" 40 30 86 88
"20545" "Artiodactyla" "Dromomerycidae" "Aletomerycinae" "Sinclairomeryx" 17.5 14.8 90 91
"20555" "Rodentia" "Muridae" "Myocricetodontinae" "Sindemys" 20 13 90 91
"20560" "Rodentia" "Muridae" "Cricetinae" "Sinocricetus" 9 3.4 92 93
"20580" "Creodonta" "Hyaenodontidae" "Proviverrinae" "Sinopa" 49.9 43.8 84 85
"20599" "Artiodactyla" "Suidae" "Tetraconodontinae" "Sivachoerus" 20.5 2.4 90 94
"20650" "Primates" "Adapidae" "Sivaladapinae" "Sivaladapis" 14.8 11.2 91 92
"20654" "Carnivora" "Mustelidae" "Lutrinae" "Sivaonyx" 8.2 5.3 92 93
"20657" "Artiodactyla" "Giraffidae" "Sivatheriinae" "Sivatherium" 9 0.95 92 94
"20719" "Euprimates" "Notharctidae" "Notharctinae" "Smilodectes" 49.9 46.9 84 85
"20728" "Carnivora" "Felidae" "Machairodontinae" "Smilodon" 4.9 0.02798 93 94
"20737" "Carnivora" "Mustelidae" "Galictini" "Sminthosinis" 5.9 4.9 92 93
"20740" "Eulipotyphla" "Soricidae" "Soricinae" "Sorex" 12.1 0.301 91 94
"20843" "Eulipotyphla" "Soricidae" "Soricinae" "Soriculus" 2.6 0.7 93 94
"20860" "Rodentia" "Muridae" "Copemyinae" "Spanocricetodon" 23 15.2 90 91
"20873" "Rodentia" "Sciuridae" "Sciurinae" "Spermophilus" 16 0.427 90 94
"21029" "Carnivora" "Mephitidae" "Mephitini" "Spilogale" 4.9 0.85 93 94
"21045" "Rodentia" "Aplodontidae" "Prosciurinae" "Spurimus" 46.3 35.7 85 87
"21057" "Rodentia" "Muridae" "Dendromurinae" "Steatomys" 11.2 0.126 92 94
"21078" "Proboscidea" "Elephantidae" "Stegodontinae" "Stegodon" 11.2 0.655 92 94
"21153" "Proboscidea" "Elephantidae" "Stegodontinae" "Stegolophodon" 11.2 2 92 94
"21162" "Eulipotyphla" "Erinaceidae" "Erinaceinae" "Stenoechinus" 28.1 18.8 89 90
"21165" "Artiodactyla" "Camelidae" "Stenomylinae" "Stenomylus" 28.1 17.5 89 90
"21184" "Rodentia" "Muridae" "Murinae" "Stephanomys" 9.5 1.95 92 94
"21311" "Carnivora" "Mustelidae" "Ischyrictini" "Sthenictis" 17.5 7.6 90 92
"21324" "Diprotodontia" "Macropodidae" "Sthenurinae" "Sthenurus" 2.9 2.4 93 94
"21329" "Artiodactyla" "Dichobunidae" "Leptochoerinae" "Stibarus" 37 32 87 88
"21376" "Perissodactyla" "Rhinocerotidae" "Diceratheriinae" "Subhyracodon" 37 30 87 88
"21409" "Artiodactyla" "Antilocapridae" "Merycodontinae" "Submeryceros" 17.5 12.1 90 91
"21426" "Artiodactyla" "Suidae" "Suinae" "Sus" 5.3 0.01 93 94
"21650" "Lagomorpha" "Leporidae" "Leporinae" "Sylvilagus" 4.9 1.9 93 94
"21673" "Rodentia" "Muridae" "Sigmodontinae" "Symmetrodontomys" 5.9 2.5 92 94
"21689" "Condylarthra" "Mesonychidae" "Mesonychinae" "Synoplotherium" 49 46.9 84 85
"21694" "Artiodactyla" "Protoceratidae" "Synthetoceratinae" "Synthetoceras" 12.1 7.6 91 92
"21701" "Rodentia" "Muridae" "Tachyoryctoidinae" "Tachyoryctoides" 26 12.5 89 91
"21708" "Rodentia" "Sciuridae" "Sciurinae" "Tamias" 18.8 0.655 90 94
"21757" "Rodentia" "Sciuridae" "Sciurinae" "Tamiops" 9 1.816 92 94
"21777" "Rodentia" "Aplodontidae" "Aplodontinae" "Tardontia" 16 7.6 90 92
"21784" "Artiodactyla" "Palaeochoeridae" "Taucanaminae" "Taucanamo" 18 12.5 90 91
"21821" "Carnivora" "Mustelidae" "Taxidiini" "Taxidea" 5.9 2.5 92 94
"21842" "Artiodactyla" "Bovidae" "Hippotragini" "Tchadotragus" 7.1 5.3 92 93
"21853" "Perissodactyla" "Rhinocerotidae" "Teleoceratinae" "Teleoceras" 18.8 4.9 90 93
"21992" "Perissodactyla" "Rhinocerotidae" "Teletaceriidae" "Teletaceras" 43.8 40 85 86
"21995" "Perissodactyla" "Brontotheriidae" "Brontotheriinae" "Telmatherium" 49 43.8 84 85
"22000" "Carnivora" "Amphicyonidae" "Temnocyoninae" "Temnocyon" 31.4 19.5 88 90
"22053" "Condylarthra" "Phenacodontidae" "Tetraclaenodontinae" "Tetraclaenodon" 63.9 61.3 82 83
"22069" "Artiodactyla" "Suidae" "Tetraconodontinae" "Tetraconodon" 23.8 2 89 94
"22086" "Artiodactyla" "Antilocapridae" "Antilocaprinae" "Tetrameryx" 6.8 2.5 92 94
"22091" "Artiodactyla" "Antilocapridae" "Antilocaprinae" "Texoceros" 9 4.9 92 93
"22118" "Artiodactyla" "Tayassuidae" "Hesperhyinae" "Thinohyus" 33.7 19.5 88 90
"22124" "Rodentia" "Ischyromyidae" "Paramyinae" "Thisbemys" 54.9 42.8 84 85
"22152" "Rodentia" "Geomyidae" "Geomyinae" "Thomomys" 12.1 1.9 91 94
"22171" "Condylarthra" "Arctocyonidae" "Arctocyoninae" "Thryptacodon" 61.3 50 83 84
"22227" "Artiodactyla" "Merycoidodontidae" "Ticholeptinae" "Ticholeptus" 18.8 14.8 90 91
"22254" "Artiodactyla" "Camelidae" "Camelinae" "Titanotylopus" 4.9 2.5 93 94
"22261" "Carnivora" "Canidae" "Borophaginae" "Tomarctus" 18.8 7.6 90 92
"22290" "Plesiadapiformes" "Palaechthonidae" "Plesiolestinae" "Torrejonia" 63.9 58.8 82 83
"22301" "Rodentia" "Muridae" "Copemyinae" "Tregomys" 14.8 6.8 91 92
"22311" "Eulipotyphla" "Soricidae" "Soricinae" "Tregosorex" 12.1 6.8 91 92
"22316" "Perissodactyla" "Rhinocerotidae" "Teletaceriidae" "Trigonias" 37 33.7 87 88
"22331" "Carnivora" "Mustelidae" "Galictini" "Trigonictis" 5.9 2.5 92 94
"22351" "Condylarthra" "Mesonychidae" "Triisodontinae" "Triisodon" 63.9 61.3 82 83
"22360" "Rodentia" "Mylagaulidae" "Promylagaulinae" "Trilaccogaulus" 30 23 88 90
"22365" "Rodentia" "Muridae" "Cricetinae" "Trilophomys" 7.1 1.95 92 94
"22423" "Euprimates" "Omomyidae" "Anaptomorphinae" "Trogolemur" 52.7 40 84 86
"22437" "Rodentia" "Heteromyidae" "Mioheteromyinae" "Trogomys" 28.1 17.5 89 90
"22468" "Eulipotyphla" "Soricidae" "Crocidosoricinae" "Turiasorex" 15.2 10.834 91 92
"22479" "Rodentia" "Muridae" "Cricetodontinae" "Turkomys" 18 12.5 90 91
"22498" "Rodentia" "Muridae" "Arvicolinae" "Tyrrhenicola" 3.4 1.95 93 94
"22525" "Artiodactyla" "Bovidae" "Bovini" "Ugandax" 7.1 2.3 92 94
"22548" "Perissodactyla" "Rhinocerotidae" "Teletaceriidae" "Uintaceras" 46.3 40 85 86
"22553" "Euprimates" "Omomyidae" "Omomyinae" "Uintanius" 50 46.9 84 85
"22560" "Rodentia" "Ischyromyidae" "Paramyinae" "Uintaparamys" 53 37 84 87
"22597" "Plesiadapiformes" "Microsyopidae" "Uintasoricinae" "Uintasorex" 53.5 40 84 86
"22612" "Rodentia" "Mylagaulidae" "Mylagaulinae" "Umbogaulus" 16 6.8 90 92
"22623" "Rodentia" "Muridae" "Arvicolinae" "Ungaromys" 3.4 1.95 93 94
"22640" "Eulipotyphla" "Erinaceidae" "Erinaceinae" "Untermannerix" 16 6.8 90 92
"22657" "Carnivora" "Canidae" "Caninae" "Urocyon" 4.9 0.85 93 94
"22669" "Eulipotyphla" "Talpidae" "Uropsilinae" "Uropsilus" 2.6 1.2 93 94
"22680" "Eulipotyphla" "Talpidae" "Talpinae" "Urotrichus" 17 2.6 90 93
"22693" "Carnivora" "Ursidae" "Ursinae" "Ursavus" 18.8 9 90 92
"22730" "Carnivora" "Ursidae" "Ursinae" "Ursus" 4.9 1.3 93 94
"22755" "Rodentia" "Eomyidae" "Eomyinae" "Viejadjidaumo" 40 36.5 86 87
"22760" "Rodentia" "Muridae" "Arvicolinae" "Villanyia" 3.4 1.3 93 94
"22795" "Carnivora" "Canidae" "Caninae" "Vulpes" 12.1 4.9 91 93
"22831" "Euprimates" "Omomyidae" "Omomyinae" "Washakius" 50 43.8 84 85
"22846" "Rodentia" "Muridae" "Eumyinae" "Wilsoneumys" 35.7 23 87 90
"22903" "Rodentia" "Eomyidae" "Yoderimyinae" "Yoderimys" 40 34.7 86 87
"22916" "Artiodactyla" "Dromomerycidae" "Cranioceratidae" "Yumaceras" 12.1 5.9 91 92
"22933" "Rodentia" "Dipodidae" "Zapodinae" "Zapus" 4.9 2.5 93 94
