"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"5407" "Cnidaria" "Anthozoa" "Stauriida" "Lophotichiidae" "Assimulia" 307 272.3 41 46
"5468" "Cnidaria" "Anthozoa" "Scleractinia" "Caryophylliidae" "Asterosmilia" 66 0.781 82 94
"5515" "Cnidaria" "Anthozoa" "Stauriida" "Streptelasmatidae" "Asthenophyllum" 449.5 419.2 19 28
"5548" "Cnidaria" "Anthozoa" "Scleractinia" "Latomeandridae" "Astraeofungia" 167.7 66 65 81
"5562" "Cnidaria" "Anthozoa" "Scleractinia" "Astraeomorphidae" "Astraeomorpha" 242 201.3 54 58
"5700" "Cnidaria" "Anthozoa" "Scleractinia" "Rhizangiidae" "Astrangia" 100.5 0 76 94
"5769" "Cnidaria" "Anthozoa" "Scleractinia" "Haplaraeidae" "Astraraea" 171.6 66 63 81
"5789" "Cnidaria" "Anthozoa" "Scleractinia" "Merulinidae" "Astrea" 235 0 56 94
"5860" "Cnidaria" "Anthozoa" "Scleractinia" "Acroporidae" "Astreopora" 83.6 0 80 94
"6094" "Cnidaria" "Anthozoa" "Scleractinia" "Oculinidae" "Astrhelia" 38 0.0117 86 94
"6110" "Cnidaria" "Anthozoa" "Stauriida" "Stauriidae" "Astrictophyllum" 410.8 387.7 30 32
"6114" "Cnidaria" "Anthozoa" "Scleractinia" "Astrocoeniidae" "Astrocoenia" 212 0.0117 57 94
"6311" "Cnidaria" "Anthozoa" "Scleractinia" "Placocoeniidae" "Astrogyra" 122.46 66 74 81
"6322" "Cnidaria" "Anthozoa" "Scleractinia" "Dendrophylliidae" "Astroides" 13.65 0.0117 91 94
"6332" "Cnidaria" "Anthozoa" "Stauriida" "Halliidae" "Aulacophyllum" 419.2 372.2 29 34
"6344" "Cnidaria" "Anthozoa" "Scleractinia" "Amphiastreidae" "Aulastraea" 163.5 122.46 67 74
"6355" "Cnidaria" "Anthozoa" "Scleractinia" "Aulastraeoporidae" "Aulastraeopora" 125.45 93.5 74 77
"6373" "Cnidaria" "Anthozoa" "Stauriida" "Lithostrotionidae" "Aulina" 346.7 315.2 37 39
"6388" "Cnidaria" "Anthozoa" "Stauriida" "Aulophyllidae" "Auloclisia" 339.4 326.4 37 38
"6391" "Cnidaria" "Anthozoa" "Auloporida" "Aulocystidae" "Aulocystella" 433.4 346.7 24 36
"6393" "Cnidaria" "Anthozoa" "Auloporida" "Aulocystidae" "Aulocystis" 427.4 358.9 26 35
"6533" "Cnidaria" "Anthozoa" "Auloporida" "Auloheliidae" "Aulohelia" 272.3 259.9 47 49
"6538" "Cnidaria" "Anthozoa" "Stauriida" "Lithostrotionidae" "Aulokoninckophyllum" 339.4 326.4 37 38
"6544" "Cnidaria" "Anthozoa" "Stauriida" "Aulophyllidae" "Aulophyllum" 345.3 318.1 37 39
