"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"6022" "Echinodermata" "Echinoidea" "Clypeasteroida" "Astriclypeidae" "Echinodiscus" 33.9 23.03 88 89
"6081" "Echinodermata" "Echinoidea" "Echinolampadoida" "Echinolampadidae" "Echinolampas" 56 5.333 84 92
"6242" "Echinodermata" "Echinoidea" "Camarodonta" "Echinometridae" "Echinometra" 5.333 0 93 94
"6250" "Echinodermata" "Echinoidea" "Echinoneoida" "Echinoneidae" "Echinoneus" 33.9 2.588 88 93
"6255" "Echinodermata" "Echinoidea" "Pedinoida" "Pedinidae" "Echinopedina" 41.3 33.9 85 87
"6347" "Echinodermata" "Echinoidea" "Stomopneustoida" "Stomechinidae" "Echinotiara" 182.7 56 62 83
"6357" "Echinodermata" "Echinoidea" "Camarodonta" "Echinidae" "Echinus" 247.2 2.588 53 93
"6364" "Echinodermata" "Crinoidea" "Homocrinida" "Homocrinidae" "Ectenocrinus" 470 443.7 16 21
"6559" "Echinodermata" "Edrioasteroidea" "Edrioasterida" "Edrioasteridae" "Edrioaster" 460.9 445.2 17 19
"6596" "Echinodermata" "Crinoidea" "Dendrocrinida" "Blothrocrinidae" "Elibatocrinus" 323.2 279.3 39 45
"6644" "Echinodermata" "Echinoidea" "Clypeasteroida" "Mellitidae" "Encope" 15.97 0.0117 91 94
"6715" "Echinodermata" "Crinoidea" "Encrinida" "Encrinidae" "Encrinus" 439 208.5 22 58
"6778" "Echinodermata" "Stylophora" "Mitrata" "Anomalocystitidae" "Enoploura" 460.9 443.7 17 21
"6781" "Echinodermata" "Holothuroidea" "Dendrochirotida" "Calclamnidae" "Eocaudina" 407.6 66 31 81
"6893" "Echinodermata" "Crinoidea" "Calceocrinida" "Calceocrinidae" "Eohalysiocrinus" 438.5 391.9 23 32
"6921" "Echinodermata" "Crinoidea" "Myelodactylida" "Myelodactylidae" "Eomyelodactylus" 443.4 433.4 21 23
"6942" "Echinodermata" "Crinoidea" "Cyathocrinida" "Euspirocrinidae" "Eoparisocrinus" 453 427.4 19 25
"6944" "Echinodermata" "Crinoidea" "Monobathrida" "Patelliocrinidae" "Eopatelliocrinus" 460.9 443.4 17 21
"6950" "Echinodermata" "Ophiuroidea" "Phrynophiurida" "Eospondylidae" "Eospondylus" 410.8 382.7 30 33
"6955" "Echinodermata" "Echinoidea" "Cidaroida" "Miocidaridae" "Eotiaris" 272.3 254.17 47 51
"7124" "Echinodermata" "Crinoidea" "Monobathrida" "Eucalyptocrinitidae" "Eucalyptocrinites" 453 382.7 19 33
"7246" "Echinodermata" "Echinoidea" "Cidaroida" "Cidaridae" "Eucidaris" 56 0.0117 84 94
"7305" "Echinodermata" "Ophiuroidea" "Oegophiurida" "Protasteridae" "Eugasterella" 407.6 382.7 31 33
"7313" "Echinodermata" "Edrioasteroidea" "Isorophida" "Lebetodiscidae" "Euhydrodiskos" 449.5 443.7 19 21
"7358" "Echinodermata" "Echinoidea" "Spatangoida" "Brissidae" "Eupatagus" 56 11.608 84 92
"7418" "Echinodermata" "Echinoidea" "Cassiduloida" "Neolampadidae" "Eurhodia" 55.8 33.9 84 87
"7456" "Echinodermata" "Crinoidea" "Cyathocrinida" "Euspirocrinidae" "Euspirocrinus" 445.2 419.2 20 28
"7468" "Echinodermata" "Crinoidea" "Eustenocrinida" "Eustenocrinidae" "Eustenocrinus" 460.9 445.2 17 19
"7470" "Echinodermata" "Crinoidea" "Taxocrinida" "Taxocrinidae" "Eutaxocrinus" 421.3 353.8 28 36
"7520" "Echinodermata" "Echinoidea" "Clypeasteroida" "Faujasiidae" "Faujasia" 83.5 61.6 80 82
"7536" "Echinodermata" "Echinoidea" "Clypeasteroida" "Clypeasteridae" "Fellaster" 5.333 0.126 93 94
"7539" "Echinodermata" "Echinoidea" "Clypeasteroida" "Fibulariidae" "Fibularia" 56 2.588 84 93
"7561" "Echinodermata" "Holothuroidea" "Dendrochirotida" "Calclamnidae" "Fissobractites" 237 201.3 56 58
"7585" "Echinodermata" "Ophiuroidea" "Oegophiurida" "Protasteridae" "Furcaster" 438.5 358.9 23 35
"7629" "Echinodermata" "Crinoidea" "Poteriocrinina" "Texacrinidae" "Galateacrinus" 305.9 290.1 41 44
"7642" "Echinodermata" "Echinoidea" "Holasteroida" "Holasteridae" "Galeaster" 72.1 61.6 81 82
"7651" "Echinodermata" "Echinoidea" "Echinoneoida" "Galeritidae" "Galerites" 83.5 66 80 81
"7665" "Echinodermata" "Crinoidea" "Cyathocrinida" "Gasterocomidae" "Gasterocoma" 419.2 391.9 29 32
"7681" "Echinodermata" "Echinoidea" "Calycina" "Phymosomatidae" "Gauthieria" 100.5 15.97 76 90
"7749" "Echinodermata" "Crinoidea" "Monobathrida" "Periechocrinitidae" "Gennaeocrinus" 407.6 382.7 31 33
"7755" "Echinodermata" "Echinoidea" "Camarodonta" "Temnopleuridae" "Genocidaris" 23.03 13.82 90 91
"7763" "Echinodermata" "Ophiuroidea" "Ophiurida" "Aplocomidae" "Geocoma" 182.7 145 62 69
"7850" "Echinodermata" "Crinoidea" "Cyathocrinida" "Cyathocrinitidae" "Gissocrinus" 443.4 402.5 21 31
"7867" "Echinodermata" "Echinoidea" "Cassiduloida" "Neolampadidae" "Gitolampas" 72.1 56 81 83
"7896" "Echinodermata" "Echinoidea" "Echinoneoida" "Conulidae" "Globator" 130 66 73 81
"7932" "Echinodermata" "Echinoidea" "Camarodonta" "Glyphocyphidae" "Glyphocyphus" 132.9 93.5 72 77
