"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"5434" "Mollusca" "Gastropoda" "Neogastropoda" "Pseudomelaniidae" "Antiplanes" 5.333 0.0117 93 94
"5459" "Mollusca" "Gastropoda" "Murchisoniina" "Porcelliidae" "Antitrochus" 410.8 382.7 30 33
"5473" "Mollusca" "Gastropoda" "Murchisoniina" "Gosseletinidae" "Apachella" 318.1 252.17 39 52
"5681" "Mollusca" "Gastropoda" "Neogastropoda" "Turridae" "Aphanitoma" 28.1 11.608 89 92
"5692" "Mollusca" "Gastropoda" "Neogastropoda" "Cancellariidae" "Aphera" 23.03 2.588 90 93
"5801" "Mollusca" "Gastropoda" "Neogastropoda" "Cochlespiridae" "Apiotoma" 47.8 15.97 85 90
"5811" "Mollusca" "Gastropoda" "Basommatophora" "Physidae" "Aplexa" 70.6 41.3 81 85
"5826" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Aplus" 13.65 2.588 91 93
"6090" "Mollusca" "Gastropoda" "Neogastropoda" "Fasciolariidae" "Aptyxis" 33.9 0.781 88 94
"6094" "Mollusca" "Gastropoda" "Neogastropoda" "Fasciolariidae" "Aquilofusus" 33.9 7.246 88 92
"6112" "Mollusca" "Gastropoda" "Euomphalina" "Euomphalidae" "Araeonema" 388.1 254.17 32 51
"6167" "Mollusca" "Gastropoda" "Sorbeoconcha" "Turritellidae" "Archimediella" 86.3 0.781 79 94
"7279" "Mollusca" "Gastropoda" "Euomphalina" "Ophiletidae" "Asgardaspira" 471.8 449.5 15 19
"7292" "Mollusca" "Gastropoda" "Euomphalina" "Tychobraheidae" "Asinomphalus" 460.9 382.7 17 33
"7303" "Mollusca" "Gastropoda" "Neogastropoda" "Muricidae" "Aspella" 48.6 0.0117 84 94
"7327" "Mollusca" "Gastropoda" "Bellerophontida" "Pterothecidae" "Aspidotheca" 412.3 409.1 29 30
"7366" "Mollusca" "Gastropoda" "Neogastropoda" "Borsoniidae" "Asthenotoma" 48.6 2.588 84 93
"7559" "Mollusca" "Gastropoda" "Euomphalina" "Pseudophoridae" "Astralites" 393.3 382.7 32 33
"7621" "Mollusca" "Gastropoda" "Neogastropoda" "Columbellidae" "Astyris" 61.6 0 83 94
"7805" "Mollusca" "Gastropoda" "Sorbeoconcha" "Cerithiidae" "Ataxocerithium" 66 0 82 94
"7820" "Mollusca" "Gastropoda" "Cephalaspida" "Ateleaspidae" "Ateleaspis" 433.4 422.9 24 28
"7825" "Mollusca" "Gastropoda" "Neogastropoda" "Volutidae" "Athleta" 66 2.588 82 93
"8266" "Mollusca" "Gastropoda" "Neogastropoda" "Muricidae" "Attiliosa" 23.03 0.0117 90 94
"8278" "Mollusca" "Gastropoda" "Cephalaspidea" "Haminoeidae" "Atys" 66 0 82 94
"8360" "Mollusca" "Gastropoda" "Murchisoniina" "Loxonematidae" "Aulacostrepsis" 416 391.9 29 32
"8363" "Mollusca" "Gastropoda" "Neogastropoda" "Volutidae" "Aulica" 11.608 2.588 92 93
"8373" "Mollusca" "Gastropoda" "Euomphalina" "Oriostomatidae" "Australonema" 433.4 382.7 24 33
"8402" "Mollusca" "Gastropoda" "Basommatophora" "Planorbidae" "Australorbis" 56 33.9 84 87
"8411" "Mollusca" "Gastropoda" "Murchisoniina" "Loxonematidae" "Australoxa" 387.7 358.9 33 35
"8432" "Mollusca" "Gastropoda" "Neogastropoda" "Turridae" "Austroclavus" 21.7 15.9 90 91
"8439" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Austrocominella" 66 28.4 82 88
"8455" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Austrofusus" 56 0.126 84 94
"8475" "Mollusca" "Gastropoda" "Neogastropoda" "Harpidae" "Austroharpa" 28.4 0.781 88 94
"8478" "Mollusca" "Gastropoda" "Neogastropoda" "Mitridae" "Austroimbricaria" 28.4 15.97 88 90
"8496" "Mollusca" "Gastropoda" "Neogastropoda" "Costellariidae" "Austromitra" 23.03 5.333 90 92
"8501" "Mollusca" "Gastropoda" "Murchisoniina" "Gosseletinidae" "Austroneilsonia" 387.7 346.7 33 36
"8518" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Austrosphaera" 66 56 82 83
"8544" "Mollusca" "Gastropoda" "Neogastropoda" "Raphitomidae" "Austrotoma" 56 15.9 84 91
"8569" "Mollusca" "Gastropoda" "Architectibranchia" "Ringiculidae" "Avellana" 129.4 61.6 73 82
"8624" "Mollusca" "Gastropoda" "Neogastropoda" "Turridae" "Awateria" 47.8 15.9 85 91
"8629" "Mollusca" "Gastropoda" "Neogastropoda" "Cancellariidae" "Axelella" 33.9 2.588 88 93
"8656" "Mollusca" "Gastropoda" "Sorbeoconcha" "Thiaridae" "Aylacostoma" 23.03 5.333 90 92
"8663" "Mollusca" "Gastropoda" "Murchisoniina" "Zygopleuridae" "Azyga" 167.7 164.7 65 66
"8672" "Mollusca" "Gastropoda" "Neogastropoda" "Cancellariidae" "Babylonella" 61.6 2.588 83 93
"8735" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Babylonia" 28.4 0 88 94
"8775" "Mollusca" "Gastropoda" "Euomphalina" "Omphalotrochidae" "Babylonites" 298.9 252.17 43 52
"8833" "Mollusca" "Gastropoda" "Neogastropoda" "Mangeliidae" "Bactrocythara" 7.246 2.588 92 93
"8844" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Bailya" 11.62 0.0117 92 94
"8851" "Mollusca" "Gastropoda" "Murchisoniina" "Subulitidae" "Balbiniconcha" 410.8 382.7 30 33
"8856" "Mollusca" "Gastropoda" "Murchisoniina" "Gosseletinidae" "Balbinipleura" 410.8 382.7 30 33
