"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"17481" "Mollusca" "Bivalvia" "Pholadida" "Corbulidae" "Bicorbula" 72.1 2.588 81 93
"17628" "Mollusca" "Bivalvia" "Hippuritida" "Radiolitidae" "Biradiolites" 100.5 66 76 81
"17980" "Mollusca" "Bivalvia" "Pectinida" "Buchiidae" "Bittneria" 242 235 54 56
"17985" "Mollusca" "Bivalvia" "Lucinida" "Lucinidae" "Boeuvia" 56 23.03 84 89
"17989" "Mollusca" "Bivalvia" "Veneroidei" "Kelliidae" "Bornia" 66 0.0117 82 94
"18043" "Mollusca" "Bivalvia" "Ostreida" "Posidoniidae" "Bositra" 252.17 150.8 52 69
"18391" "Mollusca" "Bivalvia" "Pholadida" "Corbulidae" "Bothrocorbula" 66 0.0117 82 94
"18432" "Mollusca" "Bivalvia" "Mytilida" "Mytilidae" "Botula" 235 0 56 94
"18570" "Mollusca" "Bivalvia" "Hippuritida" "Radiolitidae" "Bournonia" 99.6 66 76 81
"18781" "Mollusca" "Bivalvia" "Mytilida" "Mytilidae" "Brachidontes" 168.3 0 65 94
"19106" "Mollusca" "Bivalvia" "Mytilida" "Mytilidae" "Brachiodontes" 163.5 0.0117 67 94
"19176" "Mollusca" "Bivalvia" "Arcida" "Arcidae" "Breviarca" 113 66 75 81
"19232" "Mollusca" "Bivalvia" "Cardiida" "Cardiidae" "Bucardium" 85.8 5.333 79 92
"19245" "Mollusca" "Bivalvia" "Pectinida" "Buchiidae" "Buchia" 182.7 66 62 81
"19913" "Mollusca" "Bivalvia" "Cyrtodontida" "Praecardiidae" "Buchiola" 427.4 358.9 26 35
"19948" "Mollusca" "Bivalvia" "Trigoniida" "Buchotrigoniidae" "Buchotrigonia" 139.8 100.5 70 75
"19953" "Mollusca" "Bivalvia" "Thraciida" "Burmesiidae" "Burmesia" 237 199.3 56 59
"19961" "Mollusca" "Bivalvia" "Modiomorphida" "Modiomorphidae" "Butovicella" 430.5 421.3 25 28
"19988" "Mollusca" "Bivalvia" "Modiomorphida" "Modiomorphidae" "Byssodesma" 457.5 445.2 18 19
"19999" "Mollusca" "Bivalvia" "Pholadida" "Corbulidae" "Caestocorbula" 157.3 23.03 68 89
"20475" "Mollusca" "Bivalvia" "Pectinida" "Limidae" "Calcicanicularia" 290.1 259.9 45 49
"20497" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Callista" 105.3 0.0117 75 94
"20874" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Callistina" 113 66 75 81
"20911" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Callithaca" 56 0.0117 84 94
"20929" "Mollusca" "Bivalvia" "Arcida" "Arcidae" "Calloarca" 38 0.0117 86 94
"20948" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Callocardia" 56 0 84 94
"21054" "Mollusca" "Bivalvia" "Lucinida" "Lucinidae" "Callucina" 125 0.0117 74 94
"21147" "Mollusca" "Bivalvia" "Nuculanida" "Nuculanidae" "Calorhadia" 66 33.9 82 87
"21306" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Calva" 105.3 66 75 81
"21372" "Mollusca" "Bivalvia" "Veneroidei" "Vesicomyidae" "Calyptogena" 47.8 23.03 85 89
"21379" "Mollusca" "Bivalvia" "Pectinida" "Pectinidae" "Camptonectes" 247.2 7.246 53 92
"22625" "Mollusca" "Bivalvia" "Ostreida" "Pterineidae" "Caneyella" 345 306.95 37 41
"22641" "Mollusca" "Bivalvia" "Hippuritida" "Caprinidae" "Caprina" 140.2 83.6 70 79
"22700" "Mollusca" "Bivalvia" "Hippuritida" "Caprinulidae" "Caprinula" 100.5 66 76 81
