"","gen_dur","subf_dur","fam_dur","supfam_dur","ord_dur","cla_dur"
"248",8.79999999999998,NA,0,NA,110.5,NA
"249",4.1,NA,113.5,NA,373.4895,NA
"250",17,NA,0,NA,0,NA
"251",4.1,NA,97.7,NA,349.65,NA
"252",41.43,NA,0,NA,50.3235,NA
"253",4.1,NA,0,NA,152.7,NA
"254",4.1,NA,87.55,NA,403.8,NA
"255",6.09999999999999,NA,0,NA,79.4,NA
"256",6.62,NA,0,NA,333.3,NA
"257",19.5,NA,87.55,NA,0,NA
"258",1,NA,20.9,NA,0,NA
"259",57.2,NA,150.35,NA,54.8395,NA
"260",37.9,NA,357.3,NA,40.5895,NA
"261",4.1,NA,46.5,NA,54.8395,NA
"262",6.09999999999999,NA,0,NA,47.9395,NA
"263",4.1,NA,6.9,NA,54.8395,NA
"264",45.67,NA,7.69999999999999,NA,40.5895,NA
"265",14.97,NA,0,NA,11.9,NA
"266",19.5,NA,0,NA,20.9,NA
"267",21.3,NA,0,NA,24.15,NA
"268",19.5,NA,177.3,NA,21.6045,NA
"269",51.5,NA,0,NA,14.25,NA
"270",1,NA,0,NA,0,NA
"271",26.5,NA,0,NA,9.8345,NA
"272",23.3,NA,18.7,NA,15.5395,NA
"273",4.1,NA,0,NA,11.9,NA
"274",1,NA,0,NA,19.25,NA
"275",4.55,NA,67.6,NA,0,NA
"276",9,NA,0,NA,11.0235,NA
"277",44,NA,0,NA,NA,NA
"278",5.19999999999999,NA,39.95,NA,NA,NA
"279",16.4,NA,27.6,NA,NA,NA
"280",11.15,NA,0,NA,NA,NA
"281",9.9,NA,19.15,NA,NA,NA
"282",8.79999999999998,NA,5.75,NA,NA,NA
"283",4.1,NA,113.405,NA,NA,NA
"284",4.1,NA,0,NA,NA,NA
"285",25.7,NA,0,NA,NA,NA
"286",8.79999999999998,NA,0,NA,NA,NA
"287",38,NA,0,NA,NA,NA
"288",8.79999999999998,NA,66.55,NA,NA,NA
"289",26.8,NA,0,NA,NA,NA
"290",4.1,NA,81.9,NA,NA,NA
"291",4.5,NA,18.7,NA,NA,NA
"292",83,NA,10.815,NA,NA,NA
"293",53.1,NA,107.7,NA,NA,NA
"294",12.55,NA,13.78,NA,NA,NA
"295",8.79999999999998,NA,20.15,NA,NA,NA
"296",12.93,NA,0,NA,NA,NA
"297",101.97,NA,22,NA,NA,NA
"298",30.3,NA,27.8,NA,NA,NA
"299",4.1,NA,108.9,NA,NA,NA
"300",49.3,NA,0,NA,NA,NA
"301",4.1,NA,20.9,NA,NA,NA
"302",28.5,NA,30.25,NA,NA,NA
"303",65.9883,NA,8.09999999999997,NA,NA,NA
"304",4.1,NA,185.8,NA,NA,NA
"305",38,NA,8.09999999999997,NA,NA,NA
"306",21.1,NA,0,NA,NA,NA
"307",19.2,NA,66.55,NA,NA,NA
"308",16.492,NA,35.7,NA,NA,NA
"309",23.3,NA,39.9,NA,NA,NA
"310",15.9583,NA,77.7,NA,NA,NA
"311",4.1,NA,0,NA,NA,NA
"312",16.63,NA,32.45,NA,NA,NA
"313",131.71,NA,77.7,NA,NA,NA
"314",42.65,NA,0,NA,NA,NA
"315",28,NA,0,NA,NA,NA
"316",21.3,NA,45.2,NA,NA,NA
"317",20,NA,0,NA,NA,NA
"318",19.4,NA,0,NA,NA,NA
"319",19.4,NA,77.7,NA,NA,NA
"320",15.4,NA,389.7,NA,NA,NA
"321",34.9,NA,0,NA,NA,NA
"322",12.4,NA,0,NA,NA,NA
"323",4.1,NA,67.6,NA,NA,NA
"324",19.2,NA,87.25,NA,NA,NA
"325",63,NA,87.55,NA,NA,NA
"326",8.79999999999998,NA,27.4735,NA,NA,NA
"327",25.1,NA,198.45,NA,NA,NA
"328",8.79999999999998,NA,0,NA,NA,NA
"329",38.692,NA,61.25,NA,NA,NA
"330",9,NA,0,NA,NA,NA
"331",4.1,NA,0,NA,NA,NA
"332",12.6,NA,0,NA,NA,NA
"333",15.7,NA,32.4,NA,NA,NA
"334",6.65000000000003,NA,103.135,NA,NA,NA
"335",8.79999999999998,NA,22.5235,NA,NA,NA
"336",23.9,NA,0,NA,NA,NA
"337",26.6,NA,204.35,NA,NA,NA
"338",4.1,NA,14.085,NA,NA,NA
"339",24.1,NA,0,NA,NA,NA
"340",28.1,NA,0,NA,NA,NA
"341",37.9883,NA,0,NA,NA,NA
"342",9.1,NA,0,NA,NA,NA
"343",37.1883,NA,0,NA,NA,NA
"344",32.1,NA,29.55,NA,NA,NA
"345",11.15,NA,12.25,NA,NA,NA
"346",37.9883,NA,13.85,NA,NA,NA
"347",11.4,NA,7.69999999999999,NA,NA,NA
"348",24.7,NA,25.05,NA,NA,NA
"349",24.18,NA,0,NA,NA,NA
"350",41.43,NA,8.09999999999997,NA,NA,NA
"351",87.992,NA,88.37,NA,NA,NA
"352",1.092,NA,0,NA,NA,NA
"353",4.1,NA,7.69999999999999,NA,NA,NA
"354",8.79999999999998,NA,57.55,NA,NA,NA
"355",4.1,NA,0,NA,NA,NA
"356",19.4,NA,0,NA,NA,NA
"357",90.9,NA,0,NA,NA,NA
"358",21.9,NA,0,NA,NA,NA
"359",8.79999999999998,NA,0,NA,NA,NA
"360",4.1,NA,0,NA,NA,NA
"361",54.83,NA,0,NA,NA,NA
"362",33.9,NA,117.355,NA,NA,NA
"363",18.9,NA,0,NA,NA,NA
"364",15.5,NA,0,NA,NA,NA
"365",12.6,NA,192.85,NA,NA,NA
"366",10.4,NA,160.65,NA,NA,NA
"367",51.95,NA,125.15,NA,NA,NA
"368",46.5,NA,8.05000000000001,NA,NA,NA
"369",19.2,NA,26.335,NA,NA,NA
"370",134.9,NA,0,NA,NA,NA
"371",2,NA,0,NA,NA,NA
"372",10.43,NA,0,NA,NA,NA
"373",45.9,NA,0,NA,NA,NA
"374",23.03,NA,0,NA,NA,NA
"375",13,NA,0,NA,NA,NA
"376",12.6883,NA,96.35,NA,NA,NA
"377",10.43,NA,167.25,NA,NA,NA
"378",34.7,NA,0,NA,NA,NA
"379",33.8883,NA,0,NA,NA,NA
"380",31.9,NA,30.755,NA,NA,NA
"381",70.9,NA,0,NA,NA,NA
"382",15.5,NA,18.7,NA,NA,NA
"383",19.9,NA,21.95,NA,NA,NA
"384",415.6,NA,105.75,NA,NA,NA
"385",205.4,NA,0,NA,NA,NA
"386",112.53,NA,41.9,NA,NA,NA
"387",52.87,NA,147.1,NA,NA,NA
"388",79.9,NA,99.5,NA,NA,NA
"389",53.1,NA,20.15,NA,NA,NA
"390",12.97,NA,0,NA,NA,NA
"391",50.5,NA,0,NA,NA,NA
"392",39.1,NA,164.35,NA,NA,NA
"393",13.42,NA,0,NA,NA,NA
"394",56,NA,125.15,NA,NA,NA
"395",68.34,NA,0,NA,NA,NA
"396",21.6,NA,0,NA,NA,NA
"397",4.1,NA,20.15,NA,NA,NA
"398",4.1,NA,0,NA,NA,NA
"399",4.1,NA,0,NA,NA,NA
"400",4.1,NA,20.9,NA,NA,NA
"401",4.1,NA,0,NA,NA,NA
"402",4.1,NA,0,NA,NA,NA
"403",4.1,NA,67.1,NA,NA,NA
"404",4.1,NA,20.15,NA,NA,NA
"405",4.1,NA,70.8,NA,NA,NA
"406",4.1,NA,0,NA,NA,NA
"407",4.1,NA,0,NA,NA,NA
"408",12.1,NA,17.205,NA,NA,NA
"409",23.38,NA,0,NA,NA,NA
"410",25.6,NA,0,NA,NA,NA
"411",49.6,NA,0,NA,NA,NA
"412",167.03,NA,0,NA,NA,NA
"413",36.5,NA,12.25,NA,NA,NA
"414",35.9,NA,0,NA,NA,NA
"415",177.2,NA,0,NA,NA,NA
"416",14.97,NA,0,NA,NA,NA
"417",24.7,NA,0,NA,NA,NA
"418",35.9,NA,99.5,NA,NA,NA
"419",38.76,NA,85.9,NA,NA,NA
"420",27.9,NA,0,NA,NA,NA
"421",15.5,NA,0,NA,NA,NA
"422",19.4,NA,83.05,NA,NA,NA
"423",28.9,NA,0,NA,NA,NA
"424",2,NA,93.435,NA,NA,NA
"425",4.1,NA,148.4,NA,NA,NA
"426",43.64,NA,87.25,NA,NA,NA
"427",29.8,NA,107.7,NA,NA,NA
"428",62.5,NA,20.45,NA,NA,NA
"429",72.5,NA,178.6,NA,NA,NA
"430",10.6,NA,57.55,NA,NA,NA
"431",8.79999999999998,NA,45.8,NA,NA,NA
"432",102.15,NA,96.7,NA,NA,NA
"433",2,NA,67.1,NA,NA,NA
"434",8.79999999999998,NA,0,NA,NA,NA
"435",20.4283,NA,133.3,NA,NA,NA
"436",59.1883,NA,67.75,NA,NA,NA
"437",12.6,NA,57.55,NA,NA,NA
"438",24.8,NA,267.8,NA,NA,NA
"439",19.4,NA,52.2,NA,NA,NA
"440",4.1,NA,0,NA,NA,NA
"441",4.1,NA,0,NA,NA,NA
"442",50.2883,NA,0,NA,NA,NA
"443",8.79999999999998,NA,0,NA,NA,NA
