occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,primary_name,primary_reso,subgenus_name,subgenus_reso,species_name,species_reso
970364,occ,NA,,115075,Mochlodon,genus,64755,Maastrichtian,,72.1,66,37235,Chordata,33815,Ornithischia,38712,NO_ORDER_SPECIFIED,NO,Rhabdodontidae,66739,Mochlodon,64755,NA,Mochlodon,,,NA,suessi,
970367,occ,NA,,115075,Zalmoxes,genus,66740,Maastrichtian,,72.1,66,37235,Chordata,33815,Ornithischia,38712,NO_ORDER_SPECIFIED,NO,Rhabdodontidae,66739,Zalmoxes,66740,NA,Zalmoxes,,,NA,shqiperorum,
970368,occ,25311,,26369,Paludititan,genus,197174,Late Maastrichtian,,70.6,66,37255,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Paludititan,197174,NA,Paludititan,n. gen.,,NA,nalatzensis,n. sp.
970478,occ,NA,,67818,Kallokibotion,genus,168583,Late Maastrichtian,,70.6,66,37254,Chordata,33815,Reptilia,36322,Testudinata,106739,NO_FAMILY_SPECIFIED,NF,Kallokibotion,168583,NA,Kallokibotion,,,NA,sp.,
970479,occ,NA,,67818,Doratodon,genus,38378,Late Maastrichtian,,70.6,66,37254,Chordata,33815,Reptilia,36322,Eosuchia,37795,NO_FAMILY_SPECIFIED,NF,Doratodon,38378,NA,Doratodon,,,NA,sp.,
970483,occ,NA,,67818,Telmatosaurus,genus,64068,Late Maastrichtian,,70.6,66,37254,Chordata,33815,Ornithischia,38712,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Telmatosaurus,64068,NA,Telmatosaurus,,,NA,sp.,
970484,occ,NA,,67818,Zalmoxes,genus,66740,Late Maastrichtian,,70.6,66,37254,Chordata,33815,Ornithischia,38712,NO_ORDER_SPECIFIED,NO,Rhabdodontidae,66739,Zalmoxes,66740,NA,Zalmoxes,,,NA,sp.,
970487,occ,NA,,115102,Zalmoxes,genus,66740,Late Maastrichtian,,70.6,66,37254,Chordata,33815,Ornithischia,38712,NO_ORDER_SPECIFIED,NO,Rhabdodontidae,66739,Zalmoxes,66740,NA,Zalmoxes,,,NA,shqiperorum,
970555,occ,NA,,115112,Wanosuchus,genus,197322,Paleocene,,66,56,37276,Chordata,33815,Reptilia,36322,Eosuchia,37795,NO_FAMILY_SPECIFIED,NF,Wanosuchus,197322,NA,Wanosuchus,n. gen.,,NA,atresus,n. sp.
970556,occ,NA,,115113,Planocrania,genus,38455,Late Paleocene,,58.7,55.8,37277,Chordata,33815,Reptilia,36322,Crocodylia,36582,Planocraniidae,216463,Planocrania,38455,NA,Planocrania,,,NA,hengdongensis,n. sp.
970575,occ,NA,,115125,Dakotasuchus,genus,38359,Cenomanian,,100.5,93.9,37278,Chordata,33815,Reptilia,36322,Eosuchia,37795,Pholidosauridae,38345,Dakotasuchus,38359,NA,Dakotasuchus,n. gen.,,NA,kingi,n. sp.
970585,occ,NA,,115134,Olindalacerta,genus,197329,Late Aptian,Early Albian,122.46,109,37279,Chordata,33815,Reptilia,36322,Squamata,36379,NO_FAMILY_SPECIFIED,NF,Olindalacerta,197329,NA,Olindalacerta,n. gen.,,NA,brasiliensis,n. sp.
970593,occ,NA,,28006,Meyasaurus,genus,37818,Late Barremian,,130,125.45,37280,Chordata,33815,Reptilia,36322,Squamata,36379,Teiidae,37927,Meyasaurus,37818,NA,Meyasaurus,,,NA,diazromerali,n. sp.
970600,occ,NA,,15074,Hyposaurus,genus,36596,Clarkforkian,,56.8,55.8,37282,Chordata,33815,Reptilia,36322,Eosuchia,37795,Dyrosauridae,38370,Hyposaurus,36596,NA,Hyposaurus,,,NA,sp.,
970601,occ,NA,,15074,Bottosaurus,genus,65785,Clarkforkian,,56.8,55.8,37282,Chordata,33815,Reptilia,36322,Crocodylia,36582,Alligatoridae,38421,Bottosaurus,65785,NA,Bottosaurus,,,NA,sp.,
970602,occ,NA,,15074,Thoracosaurus,genus,38458,Clarkforkian,,56.8,55.8,37282,Chordata,33815,Reptilia,36322,Crocodylia,36582,NO_FAMILY_SPECIFIED,NF,Thoracosaurus,38458,NA,Thoracosaurus,,,NA,sp.,
970616,occ,NA,,68888,Eichstaettisaurus,genus,37894,Early Albian,,112.03,109,37283,Chordata,33815,Reptilia,36322,Squamata,36379,NO_FAMILY_SPECIFIED,NF,Eichstaettisaurus,37894,NA,Eichstaettisaurus,,,NA,gouldi,n. sp.
970617,occ,NA,,115148,Bottosaurus,genus,65785,Danian,,66,61.6,37282,Chordata,33815,Reptilia,36322,Crocodylia,36582,Alligatoridae,38421,Bottosaurus,65785,NA,Bottosaurus,,,NA,sp.,
970618,occ,NA,,115148,Thoracosaurus,genus,38458,Danian,,66,61.6,37282,Chordata,33815,Reptilia,36322,Crocodylia,36582,NO_FAMILY_SPECIFIED,NF,Thoracosaurus,38458,NA,Thoracosaurus,,,NA,sp.,
970624,occ,NA,,115152,Bottosaurus,genus,65785,Danian,,66,61.6,37282,Chordata,33815,Reptilia,36322,Crocodylia,36582,Alligatoridae,38421,Bottosaurus,65785,NA,Bottosaurus,,,NA,sp.,
