order,superfamily,family,genus,fad,lad
Rotaliida,Rotalioidea,Chapmaninidae,Angotia,44.2,41.2
Rotaliida,Rotalioidea,Chapmaninidae,Chapmanina,47.8,7.246
Rotaliida,Rotalioidea,Chapmaninidae,Crespinina,37.8,28.1
Rotaliida,Rotalioidea,Chapmaninidae,Ferayina,47.8,37.8
Rotaliida,Rotalioidea,Chapmaninidae,Sherbornina,59.2,11.63
Rotaliida,Rotalioidea,Miogypsinidae,Heterosteginoides,23.03,18.7
Rotaliida,Rotalioidea,Miogypsinidae,Lepidosemicyclina,20.44,15.97
Rotaliida,Rotalioidea,Miogypsinidae,Miogypsinodella,25.3,13.82
Rotaliida,Rotalioidea,Miogypsinidae,Miolepidocyclina,33.9,15.97
Rotaliida,Rotalioidea,Miogypsinidae,Tania,23.03,20.44
Rotaliida,Rotalioidea,Miogypsinidae,Americogypsina,30.3,25.4
Rotaliida,Rotalioidea,Miogypsinidae,Paleomiogypsina,28.1,26.9
Rotaliida,Rotalioidea,Miogypsinidae,Miogypsinella,28.1,15.97
Rotaliida,Rotalioidea,Miogypsinidae,Boninella,28.1,23.03
Rotaliida,Rotalioidea,Miogypsinidae,Miogypsinoides,28.1,5.333
Rotaliida,Rotalioidea,Miogypsinidae,Miogypsina,33.9,12.2
Rotaliida,Rotalioidea,Miogypsinidae,Miogypsinita,28.1,15.97
Rotaliida,Rotalioidea,Rotaliidae,Cuvillierina,56,47.8
Rotaliida,Rotalioidea,Rotaliidae,Laffitteina,72.1,61.6
Rotaliida,Rotalioidea,Rotaliidae,Daviesina,61.6,23.03
Rotaliida,Rotalioidea,Rotaliidae,Medocia,47.8,41.2
Rotaliida,Rotalioidea,Rotaliidae,Rotorbinella,100.5,61.6
Rotaliida,Rotalioidea,Rotaliidae,Rotalia,89.8,33.9
Rotaliida,Rotalioidea,Rotaliidae,Redmondina,66,37.8
Rotaliida,Rotalioidea,Rotaliidae,Dictyokathina,66,47.8
Rotaliida,Rotalioidea,Rotaliidae,Kathina,61.6,47.8
Rotaliida,Rotalioidea,Rotaliidae,Dictyoconoides,47.8,37.8
Rotaliida,Rotalioidea,Rotaliidae,Lockhartia,66,37.8
Rotaliida,Rotalioidea,Rotaliidae,Rotaliconus,41.2,37.8
Rotaliida,Rotalioidea,Rotaliidae,Sakesaria,66,47.8
Rotaliida,Rotalioidea,Rotaliidae,Camagueyia,47.8,37.8
Rotaliida,Rotalioidea,Rotaliidae,Neorotalia,33.9,15.97
Rotaliida,Rotalioidea,Rotaliidae,Pararotalia,89.8,37.8
Rotaliida,Rotalioidea,Rotaliidae,Fissoelphidium,72.1,66
Rotaliida,Rotalioidea,Rotaliidae,Orbitokathina,89.8,86.3
Rotaliida,Rotalioidea,Pseudorbitoididae,Conorbitoides,80.4,69.1
Rotaliida,Rotalioidea,Pseudorbitoididae,Historbitoides,80.4,69.1
Rotaliida,Rotalioidea,Pseudorbitoididae,Pseudorbitoides,80.4,66
Rotaliida,Rotalioidea,Pseudorbitoididae,Sulcorbitoides,83.6,72.1
Rotaliida,Rotalioidea,Pseudorbitoididae,Aktinorbitoides,83.6,66
Rotaliida,Rotalioidea,Pseudorbitoididae,Ctenorbitoides,80.4,69.1
Rotaliida,Rotalioidea,Pseudorbitoididae,Vaughanina,80.4,66
Rotaliida,Rotalioidea,Pseudorbitoididae,Asterorbis,80.4,66
Rotaliida,Rotalioidea,Pseudorbitoididae,Orbitocyclina,83.6,66
Rotaliida,Acervulinoidea,Acervulinidae,Acervulina,23.03,0
Rotaliida,Acervulinoidea,Acervulinidae,Alanlordia,13.82,2.588
Rotaliida,Acervulinoidea,Acervulinidae,Borodinia,23.03,20.44
